Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.0299999713897705,3.0299999713897705,2.924999952316284,2.9800000190734863,2.417745590209961,350000
1996-01-02,2.9800000190734863,3.0250000953674316,2.950000047683716,2.9749999046325684,2.4136886596679688,412000
1996-01-03,2.9749999046325684,2.994999885559082,2.950000047683716,2.984999895095825,2.421802043914795,284000
1996-01-04,2.984999895095825,2.9800000190734863,2.940000057220459,2.9649999141693115,2.40557599067688,282000
1996-01-05,2.9649999141693115,2.9800000190734863,2.950000047683716,2.9600000381469727,2.401519298553467,189000
1996-01-08,2.9600000381469727,2.950000047683716,2.9100000858306885,2.924999952316284,2.3731234073638916,237000
1996-01-09,2.924999952316284,2.924999952316284,2.799999952316284,2.8299999237060547,2.2960472106933594,483000
1996-01-10,2.8299999237060547,2.865000009536743,2.809999942779541,2.8399999141693115,2.3041605949401855,226000
1996-01-11,2.8399999141693115,2.880000114440918,2.799999952316284,2.8299999237060547,2.2960472106933594,318000
1996-01-12,2.8299999237060547,2.8350000381469727,2.799999952316284,2.825000047683716,2.291990280151367,431000
1996-01-15,2.825000047683716,2.815000057220459,2.7750000953674316,2.7899999618530273,2.263593912124634,181000
1996-01-16,2.7899999618530273,2.799999952316284,2.740000009536743,2.740000009536743,2.2230281829833984,358000
1996-01-17,2.740000009536743,2.7950000762939453,2.630000114440918,2.6549999713897705,2.154064893722534,429000
1996-01-18,2.6549999713897705,2.6549999713897705,2.5999999046325684,2.640000104904175,2.1418955326080322,330000
1996-01-19,2.640000104904175,2.630000114440918,2.5350000858306885,2.555000066757202,2.0729331970214844,426000
1996-01-22,2.555000066757202,2.5899999141693115,2.5199999809265137,2.5450000762939453,2.0648200511932373,359000
1996-01-23,2.5450000762939453,2.5999999046325684,2.509999990463257,2.5299999713897705,2.052649974822998,399000
1996-01-24,2.5299999713897705,2.5299999713897705,2.450000047683716,2.4649999141693115,1.9999136924743652,449000
1996-01-25,2.4649999141693115,2.450000047683716,2.4100000858306885,2.434999942779541,1.9755738973617554,390000
1996-01-26,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,1.9755738973617554,0
1996-01-29,2.434999942779541,2.494999885559082,2.3949999809265137,2.484999895095825,2.0161404609680176,311000
1996-01-30,2.484999895095825,2.549999952316284,2.484999895095825,2.5199999809265137,2.044536590576172,452000
1996-01-31,2.5199999809265137,2.634999990463257,2.549999952316284,2.5899999141693115,2.1013290882110596,344000
1996-02-01,2.5899999141693115,2.799999952316284,2.5999999046325684,2.7799999713897705,2.255481243133545,424000
1996-02-02,2.7799999713897705,2.994999885559082,2.799999952316284,2.9149999618530273,2.3650095462799072,819000
1996-02-05,2.9149999618530273,3.0999999046325684,2.950000047683716,2.994999885559082,2.429915189743042,906000
1996-02-06,2.994999885559082,3.049999952316284,2.950000047683716,2.9749999046325684,2.4136886596679688,888000
1996-02-07,2.9749999046325684,2.924999952316284,2.825000047683716,2.865000009536743,2.3244435787200928,586000
1996-02-08,2.865000009536743,3.1500000953674316,2.884999990463257,3.0450000762939453,2.4704813957214355,667000
1996-02-09,3.0450000762939453,3.6549999713897705,3.3499999046325684,3.6500000953674316,2.961332082748413,1720000
1996-02-12,3.6500000953674316,3.7950000762939453,3.450000047683716,3.509999990463257,2.8477470874786377,2851000
1996-02-13,3.5999999046325684,3.5999999046325684,3.325000047683716,3.450000047683716,2.7990682125091553,1451000
1996-02-14,3.450000047683716,3.799999952316284,3.5899999141693115,3.7100000381469727,3.010011911392212,2464000
1996-02-15,3.7100000381469727,3.7699999809265137,3.6700000762939453,3.684999942779541,2.989729166030884,1191000
1996-02-16,3.684999942779541,3.674999952316284,3.509999990463257,3.559999942779541,2.888313055038452,1396000
1996-02-19,3.559999942779541,3.6500000953674316,3.5,3.515000104904175,2.851804256439209,1297000
1996-02-20,3.515000104904175,3.515000104904175,3.305000066757202,3.365000009536743,2.730105400085449,1361000
1996-02-21,3.365000009536743,3.365000009536743,3.365000009536743,3.365000009536743,2.730105400085449,0
1996-02-22,3.365000009536743,3.4749999046325684,3.4000000953674316,3.424999952316284,2.778784990310669,848000
1996-02-23,3.424999952316284,3.5,3.4000000953674316,3.4200000762939453,2.774728536605835,687000
1996-02-26,3.4200000762939453,3.4749999046325684,3.375,3.384999990463257,2.7463321685791016,647000
1996-02-27,3.390000104904175,3.424999952316284,3.299999952316284,3.3949999809265137,2.754445791244507,841000
1996-02-28,3.3949999809265137,3.444999933242798,3.305000066757202,3.325000047683716,2.6976523399353027,422000
1996-02-29,3.299999952316284,3.299999952316284,3.0,3.065000057220459,2.486708641052246,1275000
1996-03-01,3.065000057220459,3.1500000953674316,3.0,3.109999895095825,2.5232181549072266,732000
1996-03-04,3.109999895095825,3.0999999046325684,3.049999952316284,3.065000057220459,2.486708641052246,647000
1996-03-05,3.065000057220459,3.065000057220459,3.065000057220459,3.065000057220459,2.486708641052246,0
1996-03-06,3.065000057220459,3.1500000953674316,3.0799999237060547,3.0999999046325684,2.5151050090789795,360000
1996-03-07,3.0999999046325684,3.1500000953674316,3.0250000953674316,3.059999942779541,2.482651472091675,486000
1996-03-08,3.059999942779541,3.069999933242798,3.0,3.049999952316284,2.4745383262634277,387000
